Part,Quantity,Price,Total
B2B-PH-K-S(LF)(SN),1,2.0,2.0
10uF (C96446),4,0.0549,0.2196
10uF (C96446),2,0.0549,0.1098
10nF (C5137477),2,0.0072,0.0144
100uF (C561794),1,0.4221,0.4221
22uF (C86295),1,0.0434,0.0434
1uF (C15849),1,0.0153,0.0153
47pF (C1671),2,0.0064,0.0128
100nF (C525226),1,0.0052,0.0052
22uH (C128694),1,0.0846,0.0846
2.2uH (C668451),1,0.1696,0.1696
NCD0805G1,1,2.0,2.0
WJ500V-5.08-2P,1,2.0,2.0
FS8205A,1,2.0,2.0
AO3400,1,2.0,2.0
0Ω (C844915),1,0.0035,0.0035
1kΩ (C2907002),2,0.0029,0.0058
2kΩ (C22975),1,0.0024,0.0024
5.1kΩ (C23186),2,0.0018,0.0036
100Ω (C2906981),3,0.0021,0.0063
10kΩ (C98220),2,0.0035,0.0070
TS-1088-AR02016,2,2.0,4.0
Test-Point,4,2.0,8.0
2.4GHz (C2934560),1,3.3224,3.3224
TPS63001DRCR,1,2.0,2.0
TP4056-42-ESOP8,1,2.0,2.0
DW01A,1,2.0,2.0
ME2188A45M3G,1,2.0,2.0
SS12D10G5,1,2.0,2.0
TYPE-C-31-M-30,1,2.0,2.0
3D Printed Case (Base & Top),1,1.0,1.0
M3 x 5mm Threaded Inserts,3,0.2,0.61
M3 x 8mm Machine Screws,3,0.1,0.3
JST LiPo Battery,1,8.0,8.0
GRAND TOTAL,1,75.89,75.89
